challenge_id,challenge_title,mission,challenge_question
115,En una palabra,1,¿Qué palabra o frase que mejor describe lo que sientes por el punto?
116,Ojalá estuvieras aquí!,1,"El punto está lleno de lugares increíbles, algunas hermosas y alegres, otras extrañas y sorprendentes. Si tuviera que hacer una postal del Punto, ¿qué te pones así? Sube una foto, compartir un video, o lo describimos."
118,Primera parada ...,1,"Si se le preguntara a dar una visita guiada por el punto, ¿por dónde empezar? Coloque un alfiler en el mapa indicando donde comenzaría la gira, y explicar su elección. ¿Dónde podría ir desde allí?"
122,Conoce a Charles,1,"Carlos ha estado en todas partes de la ciudad de Salem, pero todo el mundo conoce le dice que se mantenga alejado de la punta. El guía turístico fantasma le dijo que no es una zona muy atractiva, y es peligroso caminar por el vecindario, especialmente de noche. ""El punto no es digno de visitar"", dice. Explique por qué Charles está mal, o por qué tiene razón."
125,De primer nivel Atracciones,1,¿Cuáles son las principales atracciones de la vecindad (tanto para los visitantes y las personas que ya viven allí)? Seleccione todos los que apliquen.
126,Hermosa Salem,1,"Adjunte una foto, compartir un video, o describir un lugar en el punto que se considera hermoso, y explicar por qué."
130,Punto de Orgullo,1,Cuéntanos acerca de una vez que se sentía orgulloso de donde vive (incluso si usted no vive en el Punto). ¿Qué crees que te haría más orgulloso de su barrio?
132,¿Dónde está el punto?,1,"Tómese un momento para mirar el mapa de la zona (haga clic en el icono de la izquierda para iniciar el mapa). Le preguntamos a algunas personas en el punto de lo que pensaban que eran los límites del barrio. Este mapa ha sido desarrollado con sus comentarios. ¿Está de acuerdo con los límites? Si usted no esta de acuerdo de que es exacta, ¿qué cambiarías y por qué?"
133,Desvío,1,"¿Qué es un lugar que nunca tomaría un visitante en el punto? Coloque un alfiler en el mapa para ver la ubicación y, a continuación, explicar por qué lo elegiste."
137,Día de Compras,1,"Es hora de ir de compras. Su refrigerador está quedando vacío, su despensa está quedando sin grapas, y ahora que lo pienso de ella, se necesita un tubo de pasta de dientes y un perscription lleno, también. ¿Dónde vas a conseguir todas estas cosas? Si usted vive en el Point, a qué distancia se necesita para viajar, y ¿cómo llegar? Si usted no vive en el punto, ¿dónde crees que un residente Point tendría que ir?"
138,Noticias de última hora,1,"Imagínese que usted ha pedido que escriba un artículo sobre algo que sucedió en el Punto para las noticias de Salem. ¿Qué le informar? Usted puede elegir cualquier evento desde el año pasado, aunque parezca menor a otros, o nadie más informado al respecto. Escriba un título y subir o describir una foto para acompañar su artículo imaginaria. Si lo desea, puede explicar más acerca de tu artículo en su comentario."
139,The End?,1,"La última parada de su gira por el momento debe ser un lugar que es importante para ti, y que resume lo que el punto es realmente todo. Coloque un alfiler en el mapa en el lugar que pondría fin a la gira, y explicar su elección."
